Title,Price,Availability,Rating,Category
A Light in the Attic,£51.77,In stock (22 available),Three,Poetry
Tipping the Velvet,£53.74,In stock (20 available),One,Historical Fiction
Soumission,£50.10,In stock (20 available),One,Fiction
Sharp Objects,£47.82,In stock (20 available),Four,Mystery
Sapiens: A Brief History of Humankind,£54.23,In stock (20 available),Five,History
The Requiem Red,£22.65,In stock (19 available),One,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock (19 available),Four,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock (19 available),Three,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock (19 available),Four,Default
The Black Maria,£52.15,In stock (19 available),One,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock (19 available),Two,Default
Shakespeare's Sonnets,£20.66,In stock (19 available),Four,Poetry
Set Me Free,£17.46,In stock (19 available),Five,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock (19 available),Five,Sequential Art
Rip it Up and Start Again,£35.02,In stock (19 available),Five,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock (19 available),Three,Music
Olio,£23.88,In stock (19 available),One,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock (19 available),One,Science Fiction
Libertarianism for Beginners,£51.33,In stock (19 available),Two,Politics
It's Only the Himalayas,£45.17,In stock (19 available),Two,Travel
In Her Wake,£12.84,In stock (19 available),One,Thriller
How Music Works,£37.32,In stock (19 available),Two,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock (19 available),Three,Food and Drink
Chase Me (Paris Nights #2),£25.27,In stock (19 available),Five,Romance
Black Dust,£34.53,In stock (19 available),Five,Romance
Birdsong: A Story in Pictures,£54.64,In stock (19 available),Three,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In stock (19 available),Three,Default
Aladdin and His Wonderful Lamp,£53.13,In stock (19 available),Three,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In stock (18 available),Five,Nonfiction
Wall and Piece,£44.18,In stock (18 available),Four,Art
